id	plumos_recipe	plumos_class	version_policy	onion_display_version	onion_binary_date	embedded_build_date	lock_date	lock_date_source	onion_builder_repo	onion_builder_ref	onion_builder_subdir	onion_builder_makefile	onion_builder_args	resolved_source_commit	resolved_source_date	resolved_source_subject	plumos_ref	resolution_status	notes
gpsp	yes	A	prefer_onion_version	Git	2026-01-21T00:55:58+01:00	-	2026-01-20T23:55:58Z	onion_binary_commit_date	https://github.com/libretro/gpsp.git	master	-	Makefile	-	6250979f01db3f9ee5ebca179316e1319f017b48	2025-11-23T21:54:08+01:00	Fix I/O write mirroring	6250979f01db3f9ee5ebca179316e1319f017b48	resolved	ref=master resolved_from=refs/remotes/origin/master
gw	yes	A	prefer_onion_version	Git	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/gw-libretro.git	master	-	Makefile	-	19a1cb3105ca4a82139fb4994e7995fd956f6f8d	2022-07-26T05:49:59+02:00	Update .gitlab-ci.yml	19a1cb3105ca4a82139fb4994e7995fd956f6f8d	resolved	ref=master resolved_from=refs/remotes/origin/master
handy	yes	A	prefer_onion_version	0.95	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/libretro-handy.git	master	-	Makefile	-	517bb2d02909271836604c01c8f09a79ad605297	2022-04-14T12:20:41+01:00	Add optional LCD ghosting filter (#101)	517bb2d02909271836604c01c8f09a79ad605297	resolved	ref=master resolved_from=refs/remotes/origin/master
hatari	yes	O	prefer_onion_version	1.8	2022-09-02T03:34:50+02:00	2022-05-12T02:54:02Z	2022-05-12T02:54:02Z	embedded_binary_date	https://github.com/libretro/hatari.git	master	-	Makefile.libretro	-	245e1a126f8920cc7f6fbb582fdc9fd110de7a30	2022-04-07T13:39:16+02:00	IPF Support	245e1a126f8920cc7f6fbb582fdc9fd110de7a30	resolved	ref=master resolved_from=refs/remotes/origin/master
lowresnx	yes	O	prefer_onion_version	v1.2	2023-10-17T18:21:23+00:00	-	2023-10-17T18:21:23Z	onion_binary_commit_date	https://github.com/timoinutilis/lowres-nx.git	retroarch	platform/LibRetro	Makefile	-	12aeb1690108c5fe3f404475d59f86a12a21949d	2021-03-12T19:30:04+01:00	Update Windows project	12aeb1690108c5fe3f404475d59f86a12a21949d	resolved	ref=retroarch resolved_from=refs/remotes/origin/retroarch
lutro	yes	O	prefer_onion_version	v1	2023-12-17T01:01:49+00:00	-	2023-12-17T01:01:49Z	onion_binary_commit_date	https://github.com/libretro/libretro-lutro	master	-	Makefile	-	09a134eccad87127ec757503f736d6e4f9d06d4c	2023-05-29T21:28:28+02:00	Fix a typo in pntr_fill_rect	09a134eccad87127ec757503f736d6e4f9d06d4c	resolved	ref=master resolved_from=refs/remotes/origin/master
mame2000	yes	O	prefer_onion_version	0.37b5	2022-09-02T03:34:50+02:00	2021-09-08T00:00:00Z	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/mame2000-libretro.git	master	-	Makefile	-	0208517404e841fce0c094f1a2776a0e1c6c101d	2022-07-26T14:58:19+02:00	Update libretro.c	0208517404e841fce0c094f1a2776a0e1c6c101d	resolved	ref=master resolved_from=refs/remotes/origin/master
mame2003_plus	yes	A	prefer_onion_version	2003-Plus	2022-11-09T23:21:33+01:00	2021-11-28T00:00:00Z	2022-11-09T22:21:33Z	onion_binary_commit_date	https://github.com/libretro/mame2003-plus-libretro.git	master	-	Makefile	-	4bf97d5a4954c2fcb4b9dc19c864357f94e2fbf1	2022-11-05T08:57:35-04:00	Add files via upload	4bf97d5a4954c2fcb4b9dc19c864357f94e2fbf1	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_gba	yes	O	prefer_onion_version	v0.9.36	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-gba-libretro.git	master	-	Makefile	-	38182572571a48cb58057cde64b915237c4e2d58	2021-09-18T16:55:50+02:00	Cleanups	38182572571a48cb58057cde64b915237c4e2d58	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_lynx	yes	A	prefer_onion_version	v1.24.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-lynx-libretro.git	master	-	Makefile	-	3d2fcc5a555bea748b76f92a082c40227dff8222	2022-06-10T06:36:54+02:00	Cleanups	3d2fcc5a555bea748b76f92a082c40227dff8222	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_ngp	yes	A	prefer_onion_version	v0.9.36.1	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-ngp-libretro.git	master	-	Makefile	-	00c7cb8ea97ad9a372307405d8abf34e401fec8a	2022-07-19T10:10:59+02:00	Remove self assign (-Wself-assign)	00c7cb8ea97ad9a372307405d8abf34e401fec8a	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_pce	yes	O	prefer_onion_version	v0.9.38.7	2023-10-17T18:21:23+00:00	-	2023-10-17T18:21:23Z	onion_binary_commit_date	https://github.com/libretro/beetle-pce-libretro.git	master	-	Makefile	-	3e64232b1cc42a14dd1282339efc31f84c1a908a	2023-10-10T12:26:04-07:00	use emar instead of em++ for archiving	3e64232b1cc42a14dd1282339efc31f84c1a908a	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_pce_fast	yes	A	prefer_onion_version	v0.9.38.7	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-pce-fast-libretro.git	master	-	Makefile	-	cc248db4d2f47d0f255fbc1a3c651df4beb3d835	2022-08-28T16:46:09+02:00	Update to 1.31.0 - * PCE-Fast:  Update channel 1 frequency cache upon LFO frequency register writes(the way the channel 1 frequency and LFO frequency are combined is still inaccurate, however, causing frequency update timing granularity to be too high).	cc248db4d2f47d0f255fbc1a3c651df4beb3d835	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_pcfx	yes	O	prefer_onion_version	v0.9.33.3	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-pcfx-libretro.git	master	-	Makefile	-	08632fcbc039f70dbd6da5810db9dcc304d7fbde	2022-07-21T16:49:16+02:00	Reduce strlens	08632fcbc039f70dbd6da5810db9dcc304d7fbde	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_supafaust	yes	O	prefer_onion_version	1.29.0	2023-02-03T02:39:14+01:00	-	2023-02-03T01:39:14Z	onion_binary_commit_date	https://github.com/libretro/supafaust.git	master	-	Makefile	-	75c658cce454e58ae04ea252f53a31c60d61548e	2022-12-12T19:41:21+01:00	Merge pull request #19 from vanfanel/master	75c658cce454e58ae04ea252f53a31c60d61548e	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_supergrafx	yes	A	prefer_onion_version	v1.23.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-supergrafx-libretro.git	master	-	Makefile	-	3cfafe8c684a2f4f4532bcf18e25d2f8760ca45d	2022-07-16T18:33:06+02:00	Remove unused code	3cfafe8c684a2f4f4532bcf18e25d2f8760ca45d	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_vb	yes	B	prefer_onion_version	v0.9.36.1	2022-12-12T01:20:04+01:00	-	2022-12-12T00:20:04Z	onion_binary_commit_date	https://github.com/libretro/beetle-vb-libretro.git	master	-	Makefile	-	162918f06d9a705330b2ba128e0d3b65fd1a1bcc	2022-08-28T13:30:17+02:00	Update to 1.31.0 - * VB: Don't flip framebuffers at the first start of drawing to the framebuffer after power-on, and (always) flip framebuffers when XPRST is triggered, per tip from blitter	162918f06d9a705330b2ba128e0d3b65fd1a1bcc	resolved	ref=master resolved_from=refs/remotes/origin/master
mednafen_wswan	yes	A	prefer_onion_version	v0.9.35.1	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/beetle-wswan-libretro.git	master	-	Makefile	-	16d96f64a32cbe1fa89c40b142298dbd007f2f4d	2022-06-18T20:19:27+02:00	Remove unused code	16d96f64a32cbe1fa89c40b142298dbd007f2f4d	resolved	ref=master resolved_from=refs/remotes/origin/master
meteor	yes	O	prefer_onion_version	v1.4	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/meteor-libretro.git	master	libretro	Makefile	-	e533d300d0561564451bde55a2b73119c768453c	2020-12-28T06:23:47+01:00	Update .gitlab-ci.yml	e533d300d0561564451bde55a2b73119c768453c	resolved	ref=master resolved_from=refs/remotes/origin/master
