system_id	display_name	rom_dirs	extensions	runtime	launch_profile	core_id	built_core	deployed_core	fe_selectable	fe_executable	target_for_verification	default_profile	verification_status	notes
pico8	PICO-8	PICO8;PICO;pico-8	p8;png	PICO	picoarch:retro8	retro8	yes	yes	yes	yes	yes	no	fail_audio	FE auto companion
pico8	PICO-8	PICO8;PICO;pico-8	p8;png	PICO	picoarch:fake08	fake08	yes	yes	yes	yes	yes	no	pass	FE auto companion
pokemini	Pokemon Mini	POKEMINI;pokemini	min;zip;7z	RA	retroarch:pokemini	pokemini	yes	yes	yes	yes	yes	yes	pass	systems.json
pokemini	Pokemon Mini	POKEMINI;pokemini	min;zip;7z	PICO	picoarch:pokemini	pokemini	yes	yes	yes	yes	yes	no	pass	FE auto companion
psx	PlayStation	PS;PSX;psx	cue;chd;pbp;m3u;iso;img;bin	RA	retroarch:pcsx_rearmed	pcsx_rearmed	yes	yes	yes	yes	yes	no	pass	systems.json
psx	PlayStation	PS;PSX;psx	cue;chd;pbp;m3u;iso;img;bin	PICO	picoarch:pcsx_rearmed	pcsx_rearmed	yes	yes	yes	yes	yes	no	pass	FE auto companion
quake	Quake	QUAKE;quake	pak	RA	retroarch:tyrquake	tyrquake	yes	yes	yes	yes	yes	yes	untested	systems.json
quake	Quake	QUAKE;quake	pak	PICO	picoarch:tyrquake	tyrquake	yes	yes	yes	yes	yes	no	untested	FE auto companion
rickdangerous	Rick Dangerous	XRICK;xrick	zip	RA	retroarch:xrick	xrick	yes	yes	yes	yes	yes	yes	untested	systems.json
rickdangerous	Rick Dangerous	XRICK;xrick	zip	PICO	picoarch:xrick	xrick	yes	yes	yes	yes	yes	no	untested	FE auto companion
scummvm	ScummVM	SCUMMVM;scummvm	scummvm;svm	RA	retroarch:scummvm	scummvm	yes	yes	yes	yes	yes	no	fail_perf	systems.json
scummvm	ScummVM	SCUMMVM;scummvm	scummvm;svm	PICO	picoarch:scummvm	scummvm	yes	yes	yes	yes	yes	no	pass	FE auto companion
sega32x	32X	THIRTYTWOX;MD;sega32x	32x;bin;zip;7z	RA	retroarch:picodrive	picodrive	yes	yes	yes	yes	yes	yes	pass	systems.json
sega32x	32X	THIRTYTWOX;MD;sega32x	32x;bin;zip;7z	PICO	picoarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	FE auto companion
segacd	Sega CD	SEGACD;segacd;megacd	cue;chd;iso;m3u;bin	RA	retroarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	yes	pass	systems.json
segacd	Sega CD	SEGACD;segacd;megacd	cue;chd;iso;m3u;bin	RA	retroarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	systems.json
segacd	Sega CD	SEGACD;segacd;megacd	cue;chd;iso;m3u;bin	PICO	picoarch:genesis_plus_gx	genesis_plus_gx	yes	yes	yes	yes	yes	no	pass	FE auto companion
segacd	Sega CD	SEGACD;segacd;megacd	cue;chd;iso;m3u;bin	PICO	picoarch:picodrive	picodrive	yes	yes	yes	yes	yes	no	pass	FE auto companion
sfc	SFC	SFC;sfc;snes	sfc;smc;fig;bs;swc;zip;7z	RA	retroarch:snes9x2005	snes9x2005	yes	yes	yes	yes	yes	yes	pass	systems.json
sfc	SFC	SFC;sfc;snes	sfc;smc;fig;bs;swc;zip;7z	RA	retroarch:snes9x	snes9x	yes	yes	yes	yes	yes	no	pass	systems.json
sfc	SFC	SFC;sfc;snes	sfc;smc;fig;bs;swc;zip;7z	RA	retroarch:chimerasnes	chimerasnes	yes	yes	yes	yes	yes	no	pass	systems.json
sfc	SFC	SFC;sfc;snes	sfc;smc;fig;bs;swc;zip;7z	RA	retroarch:mednafen_supafaust	mednafen_supafaust	yes	yes	yes	yes	yes	no	pass	systems.json
sfc	SFC	SFC;sfc;snes	sfc;smc;fig;bs;swc;zip;7z	RA	retroarch:snes9x2002	snes9x2002	yes	yes	yes	yes	yes	no	pass	systems.json
